ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
131,-86.3750,12.1250,3.2904,3.6968,2.7310,2.9182,3.2646,3.0636,3.5495,2.4509,3.4369,3.3678,3.2922,3.0012,3.2654,3.5344,3.4944
132,-86.1250,12.1250,3.8985,4.0208,3.0019,3.2548,3.9781,3.3985,3.9391,2.6741,3.7236,3.6827,3.6264,3.3283,3.7416,3.9653,3.9218
133,-85.8750,12.1250,4.5917,4.5188,3.3806,3.8105,4.5180,3.8183,4.5262,3.1938,4.1190,4.1832,4.2311,4.0408,4.3210,5.0817,4.6102
134,-85.6250,12.1250,5.5321,5.1798,4.0614,4.9447,5.2407,4.8002,5.1240,3.7404,4.7249,5.1436,4.8813,5.0435,5.3808,5.8449,5.7365
135,-85.3750,12.1250,6.4188,6.0621,5.2757,6.5077,6.2052,6.0389,6.3662,5.1498,5.9301,6.3824,5.6807,6.1556,6.8237,7.2787,6.8407
136,-85.1250,12.1250,8.0318,7.3006,6.7902,8.3380,8.0445,7.5318,7.5196,6.4936,7.2632,7.9471,7.2479,8.0912,8.5705,9.2581,8.2525
137,-84.8750,12.1250,10.8651,8.9181,9.2992,10.7868,10.3328,9.9415,9.0893,8.3406,9.9200,10.5603,10.0491,10.6459,10.8605,11.3805,10.1734
145,-86.8750,12.3750,3.2289,3.5727,2.5257,2.8155,3.1204,2.9306,3.4270,2.3825,3.3144,3.3276,3.1573,2.8508,2.2358,3.4673,3.1824
146,-86.6250,12.3750,3.1601,3.5026,2.5489,2.7328,3.1316,2.9381,3.4365,2.3042,3.2862,3.2548,3.1222,2.7880,2.4409,3.3954,3.1171
147,-86.3750,12.3750,3.2458,3.6173,2.6807,2.8833,3.3131,3.0799,3.5755,2.4263,3.4019,3.3633,3.2502,2.8353,3.0945,3.4660,3.4688
148,-86.1250,12.3750,3.9459,3.8663,2.9006,3.2850,3.9136,3.3779,3.9094,2.6288,3.6207,3.7042,3.6402,3.2022,3.5374,3.9129,3.8661
149,-85.8750,12.3750,4.1094,4.2539,3.2584,3.7521,4.3119,3.6833,4.3968,3.0660,3.9631,4.0170,4.0398,3.6997,3.9941,4.7723,4.5435
