ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
249,-87.8750,13.6250,-3.1711,0.0468,2.5600,0.0938,5.7311,0.0309,0.5346,0.0609,-0.8969,0.0106
250,-87.6250,13.6250,-2.4467,0.1251,3.5533,0.0199,6.0000,0.0171,0.4353,0.0609,-0.7775,0.0064
251,-87.3750,13.6250,-1.9467,0.3635,3.3022,0.0146,5.2489,0.0409,0.3605,0.3066,-0.6814,0.0031
252,-87.1250,13.6250,-1.9578,0.2330,3.4111,0.0146,5.3689,0.0268,0.3244,0.4603,-0.6619,0.0018
253,-86.8750,13.6250,-1.3044,0.5136,3.1911,0.0409,4.4955,0.0409,0.2765,0.4955,-0.6634,0.0026
254,-86.6250,13.6250,-1.2578,0.6909,2.5289,0.1914,3.7867,0.1398,0.3537,0.4955,-0.7797,0.0012
255,-86.3750,13.6250,-1.2911,0.3942,4.5711,0.0691,5.8622,0.0409,0.4334,0.2115,-0.9146,0.0031
256,-86.1250,13.6250,-1.2222,0.4265,2.9889,0.2680,4.2111,0.1556,0.3721,0.3942,-0.9136,0.0199
257,-85.8750,13.6250,-2.4355,0.1054,4.4867,0.1914,6.9222,0.0783,0.5368,0.1398,-1.0871,0.0146
258,-85.6250,13.6250,-2.2333,0.1252,5.3466,0.0535,7.5800,0.0609,0.5107,0.1398,-1.1106,0.0409
271,-90.3750,13.8750,-1.2533,0.1914,4.3333,0.0146,5.5867,0.0125,0.9372,0.0231,-1.1881,0.0268
272,-90.1250,13.8750,-1.2267,0.4603,4.5844,0.0125,5.8111,0.0076,0.8793,0.0106,-1.1696,0.0268
273,-89.8750,13.8750,-1.9356,0.2330,5.1133,0.0268,7.0489,0.0231,0.9052,0.0356,-1.2586,0.0125
274,-89.6250,13.8750,-3.5178,0.0090,6.0022,0.0170,9.5200,0.0064,1.0534,0.0064,-1.5008,0.0146
275,-89.3750,13.8750,-4.4867,0.0022,6.7422,0.0076,11.2289,0.0022,1.1227,0.0064,-1.6689,0.0171
276,-89.1250,13.8750,-5.1600,0.0038,6.1089,0.0171,11.2689,0.0038,1.1211,0.0054,-1.6984,0.0125
277,-88.8750,13.8750,-5.1022,0.0018,6.6955,0.0158,11.7978,0.0038,1.0758,0.0038,-1.5857,0.0090
278,-88.6250,13.8750,-5.1645,0.0045,5.7533,0.0231,10.9178,0.0076,1.0251,0.0045,-1.5049,0.0106
279,-88.3750,13.8750,-4.6733,0.0026,5.2311,0.0409,9.9044,0.0090,0.9810,0.0045,-1.4441,0.0090
280,-88.1250,13.8750,-3.8355,0.0045,4.5711,0.0535,8.4067,0.0146,0.8414,0.0054,-1.2602,0.0076
281,-87.8750,13.8750,-2.9622,0.0995,3.6311,0.0409,6.5933,0.0309,0.5508,0.0535,-1.0049,0.0054
282,-87.6250,13.8750,-3.0311,0.0309,3.5356,0.0214,6.5667,0.0106,0.4547,0.0995,-0.8608,0.0054
283,-87.3750,13.8750,-2.4600,0.1398,3.8933,0.0090,6.3533,0.0125,0.3353,0.1728,-0.6842,0.0054
284,-87.1250,13.8750,-1.9445,0.1914,3.5178,0.0231,5.4622,0.0268,0.2873,0.5701,-0.6274,0.0026
285,-86.8750,13.8750,-1.2956,0.6496,3.0200,0.0783,4.3156,0.0609,0.3119,0.2560,-0.6814,0.0018
286,-86.6250,13.8750,-1.5578,0.5894,4.2578,0.1252,5.8156,0.0691,0.4290,0.2560,-0.8482,0.0018
287,-86.3750,13.8750,-1.8689,0.2804,4.1978,0.1556,6.0667,0.1118,0.4446,0.2330,-0.9339,0.0038
288,-86.1250,13.8750,-1.6711,0.3343,3.3711,0.1728,5.0422,0.2115,0.4351,0.1914,-0.9739,0.0125
289,-85.8750,13.8750,-1.3156,0.3635,3.5533,0.2115,4.8689,0.1556,0.4239,0.1556,-0.9577,0.0309
290,-85.6250,13.8750,-1.6489,0.2805,3.6289,0.1398,5.2778,0.1728,0.4746,0.0995,-1.0352,0.0268
291,-85.3750,13.8750,-1.9889,0.3066,5.3800,0.0146,7.3689,0.0356,0.6418,0.0409,-1.2106,0.0146
292,-85.1250,13.8750,-1.2445,0.8203,5.2867,0.0199,6.5311,0.0783,0.7114,0.0609,-1.2798,0.0231
