ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
137,-84.8750,12.1250,7.1213,7.2363,7.3536,6.6970,7.3080,7.5128,7.2655,6.7038,7.3672,7.2743,7.1669,7.2171,7.4186,6.9658,7.2658
145,-86.8750,12.3750,3.7357,3.8414,3.9182,3.6543,3.6950,3.9951,3.9348,3.6364,3.9975,3.7561,3.7002,3.5865,2.9200,3.5158,3.7280
146,-86.6250,12.3750,3.6893,3.7993,3.8682,3.5816,3.6978,3.9288,3.8711,3.5715,3.8976,3.7234,3.6762,3.5459,3.0216,3.5290,3.6764
147,-86.3750,12.3750,3.6038,3.7148,3.7704,3.4720,3.6536,3.8140,3.7627,3.4888,3.7572,3.6496,3.6082,3.4606,3.0757,3.5015,3.5817
148,-86.1250,12.3750,3.6781,3.7808,3.8229,3.5310,3.7767,3.8561,3.8410,3.5456,3.8207,3.7193,3.6869,3.5518,3.2479,3.5998,3.6550
149,-85.8750,12.3750,3.9769,4.0447,4.0588,3.8158,4.0795,4.1230,4.1595,3.7802,4.1246,3.9780,3.9670,3.8461,3.5671,3.8708,3.9508
150,-85.6250,12.3750,4.4309,4.4911,4.5364,4.2351,4.5572,4.6057,4.6187,4.1582,4.5932,4.4281,4.4288,4.3286,4.1120,4.3107,4.4284
151,-85.3750,12.3750,5.1132,5.1794,5.2614,4.8659,5.2725,5.3440,5.3099,4.7758,5.2857,5.1356,5.1253,5.0387,4.9309,4.9746,5.1414
152,-85.1250,12.3750,5.8377,5.9150,6.0439,5.5396,6.0242,6.1390,6.0438,5.4764,6.0243,5.9153,5.8705,5.8025,5.8669,5.6854,5.9049
153,-84.8750,12.3750,6.5896,6.6505,6.7810,6.2109,6.7315,6.9210,6.7470,6.1927,6.7466,6.6905,6.6102,6.6033,6.7563,6.4137,6.7101
161,-87.1250,12.6250,4.3999,4.4873,4.5763,4.3096,4.4619,4.6882,4.6213,4.2456,4.6433,4.3976,4.3424,4.2271,3.2267,4.2084,4.4150
162,-86.8750,12.6250,4.2295,4.3066,4.3980,4.1019,4.3070,4.5036,4.4528,4.0885,4.4896,4.2454,4.1703,4.0140,3.2493,4.0495,4.2012
163,-86.6250,12.6250,3.9498,4.0332,4.1115,3.8087,4.0365,4.1927,4.1536,3.7857,4.1376,3.9828,3.9207,3.7526,3.1813,3.8031,3.9218
164,-86.3750,12.6250,3.6150,3.7009,3.7584,3.4653,3.7042,3.8154,3.7912,3.4820,3.7330,3.6584,3.6083,3.4355,3.0361,3.4965,3.5845
165,-86.1250,12.6250,3.5116,3.5884,3.6339,3.3589,3.6070,3.6744,3.6795,3.3790,3.6143,3.5537,3.5089,3.3622,3.0567,3.4033,3.4858
166,-85.8750,12.6250,3.6991,3.7489,3.7688,3.5377,3.7761,3.8248,3.8690,3.5174,3.8194,3.7077,3.6841,3.5508,3.2703,3.5727,3.6792
167,-85.6250,12.6250,4.0097,4.0551,4.1008,3.8271,4.1027,4.1546,4.1822,3.7747,4.1281,4.0272,4.0028,3.8919,3.6754,3.8721,4.0108
168,-85.3750,12.6250,4.5089,4.5558,4.6344,4.2955,4.6213,4.6939,4.6930,4.2301,4.6236,4.5496,4.5118,4.4204,4.2949,4.3579,4.5357
169,-85.1250,12.6250,5.1569,5.2097,5.3301,4.9042,5.2922,5.4012,5.3577,4.8517,5.2692,5.2424,5.1773,5.1046,5.1170,4.9910,5.2179
176,-87.6250,12.8750,3.9156,4.0532,4.1008,3.8524,4.0398,4.2100,4.0937,3.8010,4.1672,3.9273,3.9143,3.7457,2.8051,3.8872,3.9310
177,-87.3750,12.8750,4.4918,4.6165,4.6775,4.3924,4.6416,4.7982,4.7104,4.3475,4.7384,4.4865,4.4709,4.2897,3.2702,4.4310,4.5039
178,-87.1250,12.8750,4.6323,4.7397,4.8054,4.5109,4.7964,4.9258,4.8692,4.4707,4.8695,4.6378,4.6013,4.4156,3.5394,4.5435,4.6398
179,-86.8750,12.8750,4.3491,4.4287,4.4940,4.1823,4.4948,4.6082,4.5664,4.1789,4.5815,4.3580,4.3002,4.0836,3.4467,4.2327,4.3069
180,-86.6250,12.8750,4.0273,4.1139,4.1607,3.8542,4.1590,4.2496,4.2301,3.8339,4.1928,4.0531,4.0116,3.7873,3.3224,3.8958,3.9868
