ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
166,-85.8750,12.6250,6.3971,5.8137,7.6307,6.8259,5.7061,7.5502,5.9073,8.4806,6.7027,6.6803,6.2881,5.9528,5.4701,4.8729,6.2005
167,-85.6250,12.6250,5.8630,5.6243,7.3313,6.2295,5.5352,6.7848,5.7910,8.4596,6.4514,6.3430,6.1437,5.5086,5.3890,4.4485,5.8312
168,-85.3750,12.6250,5.9650,5.5119,6.9896,6.0803,5.6322,6.5093,5.8184,8.2579,6.7508,6.1757,5.9667,5.2179,5.3409,4.2553,5.9246
169,-85.1250,12.6250,5.8078,5.4994,6.7465,6.1700,5.4303,6.6495,5.8359,8.0736,6.7945,6.2991,5.6964,4.9149,5.6683,4.1857,6.1659
176,-87.6250,12.8750,8.3733,7.4543,11.7688,10.1912,8.2693,10.0978,8.2893,10.7471,10.1019,8.0809,8.3600,7.9356,8.0679,6.1938,8.0680
177,-87.3750,12.8750,9.8790,9.0932,13.3883,11.4339,9.6731,12.1495,9.8004,12.3687,11.7856,9.4741,9.8610,9.4865,9.0444,7.5696,9.6505
178,-87.1250,12.8750,10.1071,9.5283,13.4160,11.5001,9.9054,12.6045,10.0498,12.8417,11.5600,9.7950,10.2408,9.6459,8.9892,7.9881,10.0881
179,-86.8750,12.8750,9.2861,8.5192,11.7850,9.8961,8.9487,11.2052,9.0434,11.9969,10.2776,8.8738,9.1373,8.3858,8.0166,7.2355,9.2331
180,-86.6250,12.8750,8.3369,7.5548,10.3141,8.6151,7.9497,9.8489,7.9534,11.1190,8.8120,8.0409,8.1748,7.3853,7.0698,6.6023,8.3060
181,-86.3750,12.8750,7.2156,6.5770,8.9142,7.4230,6.9255,8.5560,6.7619,9.6763,7.4584,6.9580,7.2085,6.2873,6.1778,5.7911,7.2145
182,-86.1250,12.8750,6.5848,5.8499,7.9761,6.4183,5.9031,7.6680,5.9169,8.8421,6.6927,6.3840,6.4672,5.6506,5.3259,5.2600,6.2812
183,-85.8750,12.8750,6.0927,5.5804,7.5693,6.3204,5.5496,7.2900,5.6373,8.4217,6.2926,6.2141,6.1390,5.2280,5.1509,4.6356,5.8042
184,-85.6250,12.8750,5.8033,5.3776,6.9832,5.8138,5.2978,6.4544,5.5266,8.3293,6.2435,6.0098,5.7753,4.8992,4.9386,4.3297,5.6806
185,-85.3750,12.8750,5.7920,5.3243,6.7352,5.8529,5.1947,6.1359,5.6058,8.1125,6.3631,5.8599,5.8080,4.8427,5.0917,4.3558,5.7451
186,-85.1250,12.8750,5.8739,5.3877,6.6307,6.1667,5.3017,6.3732,5.7687,7.4106,6.2753,5.9374,5.6542,4.7064,5.3068,4.2534,5.9364
199,-87.3750,13.1250,10.0271,9.2132,13.4372,11.0753,9.5464,12.2539,9.6609,12.0272,11.3224,9.2063,9.7815,8.8274,8.6567,7.5550,9.5990
200,-87.1250,13.1250,9.7451,9.1175,12.8918,10.4947,9.3149,12.1427,9.4624,11.9402,10.6222,9.0930,9.6774,8.4144,8.1989,7.5665,9.5454
201,-86.8750,13.1250,8.5976,7.8064,11.3092,9.0522,8.1656,10.4091,8.1074,10.6695,9.1240,7.9501,8.3454,7.2673,7.0305,6.6779,8.1472
202,-86.6250,13.1250,7.5639,6.8066,9.8909,7.8913,7.2008,8.9948,6.9503,10.0818,7.7980,6.9448,7.4857,6.3797,6.2782,5.9847,7.1432
