ID,Lon,Lat,nyears,onset_mx_mn,onset_dy_mn,end_mx_mn,end_dy_mn,min_mn_mn,duration_mn,intensity_mn,onset_mx_sd,onset_dy_sd,end_mx_sd,end_dy_sd,min_mn_sd,duration_sd,intensity_sd
256,-86.125,13.625,30,11.6699,173.3000,10.9296,240.9000,5.4089,67.6000,5.8908,3.3192,16.0520,2.4265,23.0955,2.8585,34.4159,2.8495
257,-85.875,13.625,30,11.9937,170.0000,11.6274,238.4667,5.4350,68.4667,6.3756,3.2530,17.7006,2.8318,27.7361,2.5859,28.8238,3.1445
258,-85.625,13.625,30,12.8453,174.3667,12.3013,237.3333,6.5431,62.9667,6.0302,3.4201,16.9756,2.8643,28.6962,3.5650,36.7728,3.8395
271,-90.375,13.875,30,18.3437,167.5333,20.9086,252.3333,7.5017,84.8000,12.1244,4.3872,18.4199,4.9076,17.5270,3.3955,24.2379,3.6509
272,-90.125,13.875,30,16.9327,170.0333,19.3125,252.2667,7.0968,82.2333,11.0258,4.2431,16.5956,4.5279,17.5792,3.2808,23.0048,3.4832
273,-89.875,13.875,30,15.6723,169.4333,17.8812,239.2000,7.5532,69.7667,9.2236,4.0418,19.8524,4.7782,23.4041,3.6532,32.1008,3.8837
274,-89.625,13.875,30,14.6389,173.6000,16.8715,235.3333,7.7704,61.7333,7.9847,3.7987,17.7056,4.3935,23.0087,3.7703,31.4017,3.8556
275,-89.375,13.875,30,13.6480,173.7667,16.2054,232.7333,7.9471,58.9667,6.9796,3.5770,17.6649,4.1796,22.8215,4.6340,32.6523,3.7012
276,-89.125,13.875,30,12.8903,175.3000,15.6855,233.5667,7.7010,58.2667,6.5869,3.4726,17.6814,4.0940,23.2463,4.4104,32.6041,3.5311
277,-88.875,13.875,30,12.7949,177.4667,14.8971,242.1333,6.5451,64.6667,7.3009,4.0635,17.8456,3.5412,22.9854,3.4490,27.9202,3.6068
278,-88.625,13.875,30,12.3251,177.4667,14.5790,243.8667,6.2122,66.4000,7.2399,3.8523,17.8456,3.4483,23.2953,3.2241,27.1034,3.4832
279,-88.375,13.875,30,11.9246,174.0667,14.3257,247.5000,5.6363,73.4333,7.4888,3.6854,20.2586,3.4368,21.1607,2.8473,25.7838,3.0582
280,-88.125,13.875,30,11.4832,169.3000,13.9762,250.2667,5.1861,80.9667,7.5435,3.4804,21.5889,3.4219,18.1677,2.6919,27.6823,2.8655
281,-87.875,13.875,30,11.0465,171.3000,12.7509,248.4667,4.8957,77.1667,7.0029,2.7791,17.5679,3.3069,19.0439,2.2785,27.8606,2.4027
282,-87.625,13.875,30,10.4520,168.0667,11.7399,249.8667,4.3179,81.8000,6.7780,2.7927,18.1999,3.1823,18.6469,2.1184,27.9401,2.3712
283,-87.375,13.875,30,9.7622,164.8667,10.2048,250.3667,3.6578,85.5000,6.3257,2.7697,17.9803,2.9036,18.8359,1.8583,29.3889,2.2519
284,-87.125,13.875,30,9.6648,163.4667,9.3636,250.7667,3.4079,87.3000,6.1064,2.8571,17.2801,2.6660,19.2043,1.7876,29.0946,2.1939
285,-86.875,13.875,30,9.8454,161.3667,9.3888,252.1333,3.1501,90.7667,6.4670,2.8479,19.0688,2.3097,17.3617,1.4932,21.8296,1.7499
286,-86.625,13.875,30,10.2997,164.6667,9.5135,250.2667,3.4323,85.6000,6.4742,3.0301,17.1068,2.2307,17.6126,1.5909,22.5306,1.8593
287,-86.375,13.875,30,10.9051,171.3667,10.0085,245.2667,4.2723,73.9000,6.1845,3.1296,16.8328,2.2717,21.3928,2.0826,32.6806,2.4994
288,-86.125,13.875,30,11.5936,172.1333,10.6411,237.8000,5.2835,65.6667,5.8339,3.2485,17.2981,2.3668,24.0995,2.9135,36.0960,2.8479
289,-85.875,13.875,30,11.8806,169.7333,11.2666,237.3000,5.5281,67.5667,6.0456,3.1843,17.6595,2.6094,28.6563,2.8678,32.1684,3.2500
290,-85.625,13.875,30,12.7474,171.1000,11.9995,237.3333,6.2171,66.2333,6.1563,3.3616,18.8649,2.6352,28.5395,3.3954,34.9637,3.6035
291,-85.375,13.875,30,13.8552,172.7333,12.8718,233.2333,7.7437,60.5000,5.6198,3.6036,19.0135,2.7795,28.4068,4.0197,39.7542,3.7423
292,-85.125,13.875,30,15.1778,172.4333,13.9333,231.2000,8.6048,58.7667,5.9507,3.9069,19.2420,3.0127,28.3748,4.6065,40.2258,4.0680
301,-91.625,14.125,30,19.4963,165.8000,21.1762,256.2667,6.5969,90.4667,13.7393,4.9384,17.1110,5.9719,15.8722,3.0287,22.6407,4.0948
302,-91.375,14.125,30,21.3329,165.1667,23.2300,257.0333,7.2544,91.8667,15.0270,5.1536,16.6900,6.5062,13.7025,3.3365,20.4497,4.3703
303,-91.125,14.125,30,23.5563,165.1667,25.2393,257.0333,7.7495,91.8667,16.6483,5.6567,16.6900,7.0315,13.6520,3.5373,20.4446,4.7332
304,-90.875,14.125,30,23.9245,161.8667,25.5752,261.1333,8.9796,99.2667,15.7702,4.7504,15.5890,6.8323,10.6956,3.3306,19.4386,4.0665
305,-90.625,14.125,30,23.7709,160.4667,25.1110,259.1667,8.6022,98.7000,15.8387,4.8118,16.3301,6.5847,12.9111,3.4423,19.3590,3.9356
306,-90.375,14.125,30,20.9403,163.0000,22.3692,256.5667,8.0557,93.5667,13.5991,4.4801,16.2714,5.8054,17.0348,3.9609,25.1076,4.0076
307,-90.125,14.125,30,18.8222,163.0000,20.0546,253.1000,7.6316,90.1000,11.8068,4.2259,16.2714,5.1995,20.0574,3.8929,26.4162,3.6323
308,-89.875,14.125,30,16.0216,164.6000,18.1681,240.7000,7.7837,76.1000,9.3111,3.7229,17.1537,4.9550,20.8825,3.8636,30.0050,3.4983
309,-89.625,14.125,30,14.7340,165.5000,16.8711,236.3667,7.4909,70.8667,8.3116,3.4014,18.6043,4.3622,20.9276,3.8222,30.0949,3.2201
310,-89.375,14.125,30,13.5253,171.7333,15.8370,234.6667,7.8247,62.9333,6.8565,3.0827,17.8672,3.8689,21.8968,3.7220,31.0483,3.2854
